"Site","N","dN15","sampleDate"
"Cook 1","0.57",5.6,"May2016"
"OPU 1","0.58",5.16,"May2016"
"OPU 2","0.62",5.61,"May2016"
"1","0.43",2.38,"Jan2016"
"2","0.34",2.38,"Jan2016"
"3","0.45",3.36,"Jan2016"
"4","0.44",2.66,"Jan2016"
"5","0.5",4.17,"Jan2016"
"6","0.49",3.73,"Jan2016"
"7","0.42",1.83,"Jan2016"
"8","0.42",2.88,"Jan2016"
"9","0.41",3.03,"Jan2016"
"10","0.42",3.18,"Jan2016"
"11","0.48",3.53,"Jan2016"
"12","0.43",3.35,"Jan2016"
"13","0.41",2.1,"Jan2016"
"14","0.36",2.88,"Jan2016"
"16","0.63",3.52,"Jan2016"
"17","0.39",1.99,"Jan2016"
"18","0.49",3,"Jan2016"
"19","0.43",3.33,"Jan2016"
"20","0.38",3.4,"Jan2016"
"21","0.41",2.73,"Jan2016"
"22","0.44",3.52,"Jan2016"
"23","0.47",3.29,"Jan2016"
"24","0.51",2.84,"Jan2016"
"25","0.46",2.85,"Jan2016"
"26","0.47",2.26,"Jan2016"
"27","0.32",2.11,"Jan2016"
"28","0.33",1.95,"Jan2016"
"29","0.42",2.82,"Jan2016"
"30","0.33",2.33,"Jan2016"
"31","0.3",2.4,"Jan2016"
"32","0.37",2.64,"Jan2016"
"33","0.39",2.97,"Jan2016"
"34","0.42",2.65,"Jan2016"
"35","0.46",3.08,"Jan2016"
"36","0.47",3.12,"Jan2016"
"37","0.46",3.34,"Jan2016"
"38","0.49",3.74,"Jan2016"
"39","0.44",2.47,"Jan2016"
"40","0.49",2.73,"Jan2016"
"41","0.42",3,"Jan2016"
"43","0.38",2.81,"Jan2016"
"44","0.38",2.5,"Jan2016"
"45","0.4",3.27,"Jan2016"
"46","0.47",3.11,"Jan2016"
"47","0.36",2.47,"Jan2016"
"48","0.48",2.59,"Jan2016"
"50","0.43",3.5,"Jan2016"
"51","0.63",4.23,"Jan2016"
"52","0.45",3.33,"Jan2016"
"53","0.51",2.61,"Jan2016"
"54","0.41",3.26,"Jan2016"
"55","0.43",2.86,"Jan2016"
"56","0.38",2.55,"Jan2016"
"57","0.36",2.92,"Jan2016"
"58","0.34",2.53,"Jan2016"
"59","0.43",3.05,"Jan2016"
"60","0.48",3.77,"Jan2016"
"61","0.46",3.38,"Jan2016"
"62","0.39",3.13,"Jan2016"
"63","0.34",2.77,"Jan2016"
"64","0.43",2.49,"Jan2016"
"65","0.4",2.37,"Jan2016"
"66","0.49",3.18,"Jan2016"
"67","0.51",4.62,"Jan2016"
"68","0.47",3.4,"Jan2016"
"69","0.42",2.98,"Jan2016"
"70","0.49",3.54,"Jan2016"
"71","0.4",3.16,"Jan2016"
"73","0.39",2.82,"Jan2016"
"74","0.37",3.06,"Jan2016"
"75","0.43",3.5,"Jan2016"
"76","0.4",3.22,"Jan2016"
"77","0.39",2.49,"Jan2016"
"78","0.41",2.55,"Jan2016"
"79","0.4",2.81,"Jan2016"
"80","0.42",2.3,"Jan2016"
"81","0.49",2.61,"Jan2016"
"82","0.4",2.3,"Jan2016"
"83","0.43",3.12,"Jan2016"
"84","0.37",2.38,"Jan2016"
"85","0.49",3.01,"Jan2016"
"86","0.55",2.91,"Jan2016"
"87","0.45",2.25,"Jan2016"
"88","0.43",1.8,"Jan2016"
"89","0.39",1.68,"Jan2016"
"90","0.42",2.27,"Jan2016"
"90 #2","0.37",1.74,"Jan2016"
"91","0.39",2.15,"Jan2016"
"92","0.39",2.47,"Jan2016"
"93","0.36",2.61,"Jan2016"
"94","0.29",2.5,"Jan2016"
"95","0.38",3.15,"Jan2016"
"96","0.38",3.51,"Jan2016"
"97","0.38",3.68,"Jan2016"
"98","0.36",2.99,"Jan2016"
"99","0.47",2.32,"Jan2016"
"100","0.47",3.38,"Jan2016"
"101","0.4",3.56,"Jan2016"
"102","0.39",3.68,"Jan2016"
"103","0.43",2.43,"Jan2016"
"104","0.29",2.07,"Jan2016"
"105","0.36",3.07,"Jan2016"
"106","0.39",2.64,"Jan2016"
"107","0.42",2.98,"Jan2016"
"108","0.37",3.33,"Jan2016"
"109","0.33",2.51,"Jan2016"
"110","0.42",2.94,"Jan2016"
"111","0.35",2.83,"Jan2016"
"112","0.33",2.38,"Jan2016"
"113","0.43",2.19,"Jan2016"
"114","0.36",3.02,"Jan2016"
"115","0.38",3.02,"Jan2016"
"116","0.34",2.23,"Jan2016"
"117","0.5",2.55,"Jan2016"
"118","0.46",2.51,"Jan2016"
"119","0.39",3.07,"Jan2016"
"120","0.41",2.82,"Jan2016"
"121","0.45",2.38,"Jan2016"
"122","0.35",3.16,"Jan2016"
"123","0.3",2.35,"Jan2016"
"124","0.4",3.36,"Jan2016"
"125","0.49",1.7,"Jan2016"
"127","0.31",2.33,"Jan2016"
"128","0.36",2.68,"Jan2016"
"129","0.42",2.99,"Jan2016"
"130","0.34",3.47,"Jan2016"
"131","0.47",3.78,"Jan2016"
"132","0.38",3.27,"Jan2016"
"133","0.32",1.56,"Jan2016"
"134","0.35",2.75,"Jan2016"
"135","0.42",3.68,"Jan2016"
"136","0.32",3.08,"Jan2016"
"137","0.37",3.78,"Jan2016"
"139","0.45",3.48,"Jan2016"
"140","0.47",3.88,"Jan2016"
"141","0.55",4.19,"Jan2016"
"142","0.5",3.39,"Jan2016"
"143","0.54",3.64,"Jan2016"
"144","0.38",3.45,"Jan2016"
"145","0.62",3.68,"Jan2016"
"146","0.44",2.79,"Jan2016"
"147","0.38",3.34,"Jan2016"
"148","0.48",3.42,"Jan2016"
"149","0.47",3.4,"Jan2016"
"150","0.51",4.12,"Jan2016"
"151","0.45",3.39,"Jan2016"
"152","0.43",3.58,"Jan2016"
"153","0.39",3.64,"Jan2016"
"154","0.45",3.44,"Jan2016"
"155","0.39",3.3,"Jan2016"
"156","0.35",3.28,"Jan2016"
"157","0.49",3.56,"Jan2016"
"158","0.5",3.55,"Jan2016"
"159","0.57",3.98,"Jan2016"
"160","0.45",2.95,"Jan2016"
"161","0.52",3.49,"Jan2016"
"162","0.45",3.91,"Jan2016"
"163","0.54",2.71,"Jan2016"
"164","0.44",2.72,"Jan2016"
"165","0.43",3.08,"Jan2016"
"166","0.32",3.2,"Jan2016"
"167","0.44",3.21,"Jan2016"
"168","0.34",3.34,"Jan2016"
"169","0.46",3.55,"Jan2016"
"170","0.45",3.13,"Jan2016"
"171","0.44",3.28,"Jan2016"
"173","0.43",3.15,"Jan2016"
"174","0.49",3.48,"Jan2016"
"175","0.59",3.77,"Jan2016"
"175 #2","0.59",3.93,"Jan2016"
"176","0.56",3.62,"Jan2016"
"177","0.54",3.94,"Jan2016"
"178","0.63",3.78,"Jan2016"
"179","0.47",3.32,"Jan2016"
"180","0.39",3.76,"Jan2016"
"181","0.48",3.82,"Jan2016"
"182","0.45",3.74,"Jan2016"
"183","0.39",3.49,"Jan2016"
"184","0.47",3.84,"Jan2016"
"185","0.43",3.39,"Jan2016"
"186#2","0.45",3.95,"Jan2016"
"186","0.58",3.67,"Jan2016"
"187","0.41",3.58,"Jan2016"
"188","0.42",3.92,"Jan2016"
"OPU 1","0.54",5,"Jan2016"
"OPU 2","0.33",4.5,"Jan2016"
"Cook 1","0.42",5.09,"Jan2016"
