Site_Number,Sample_ID,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Entry,Date,Samplers,Time,Notes_Field,Lat,Lon,Notes_Processing
124,124,0.16,0.76,0.99,0.77,13,9/7/2020,TA_and_KS,15:29,,,,
125,125,0.11,0.73,1.59,0.68,23,8/30/2020,TA_and_KS,14:52,125 New.  Need to get new waypoint from GPS,,,Approximate location
126,126,0.11,1.43,1.24,0.67,24,8/30/2020,TA_and_KS,15:05,,,,
127,127,0.16,0.86,1.15,0.52,50,8/22/2020,DB_BVT_HE,15:31,,,,
128,128,0.18,0.78,1.43,0.48,51,8/22/2020,DB_BVT_HE,15:50,,,,
129,129,0.14,1.02,0.92,0.55,52,8/22/2020,DB_BVT_HE,16:05,,,,
13,13,0.16,1,1.36,0.34,154,9/2/2020,DB_and_RVT,10:00,,,,
130,130,0.16,1.02,1.11,0.71,17,9/8/2020,TA_and_JG,13:55,,,,
131,131,0.16,1.02,1.45,0.75,19,9/8/2020,TA_and_JG,14:20,,,,
132,132,0.17,0.96,1.45,2.91,18,9/8/2020,TA_and_JG,14:10,,,,
133,133,0.15,0.78,1.13,0.48,22,8/30/2020,TA_and_KS,14:36,,,,
134,134,0.11,0.73,1.35,0.45,48,8/22/2020,DB_BVT_HE,15:00,,,,
135,135,0.16,0.85,1.49,0.65,14,9/7/2020,TA_and_KS,15:42,,,,
136,136,0.14,0.73,1.24,0.49,49,8/22/2020,DB_BVT_HE,15:18,,,,
137,137,0.17,0.99,1.14,0.78,15,9/7/2020,TA_and_KS,16:14,,,,
138,138,0.13,2.47,1.22,0.81,16,9/8/2020,TA_and_JG,13:40,,,,
139,139,0.18,2.81,1.38,0.36,53,8/22/2020,DB_BVT_HE,16:17,,,,
14,14,0.16,0.67,1.08,0.33,160,9/2/2020,DB_and_RVT,11:56,,,,
140,140,0.18,2.74,1.35,0.41,25,8/30/2020,TA_and_KS,15:23,,,,
141,141,0.17,3.33,1.54,0.46,54,8/22/2020,DB_BVT_HE,16:27,,,,
142,142,0.18,1.21,1.18,0.48,28,8/30/2020,TA_and_KS,16:00,,,,
143,143,0.15,0.84,1.12,0.5,29,8/30/2020,TA_and_KS,16:12,,,,
144,144,0.17,0.74,1.08,0.48,30,8/30/2020,TA_and_KS,16:26,,,,
145,,,,,,20,9/8/2020,TA_and_JG,14:40,No water,,,
146,146,0.18,0.77,2.94,0.45,122,8/22/2020,TA_and_KS,16:24,,,,
147,147,0.18,0.72,1.2,0.38,120,8/22/2020,TA_and_KS,16:00,,,,
148,148,0.18,0.45,0.67,0.36,121,8/22/2020,TA_and_KS,16:13,,,,
149,149,0.19,0.79,1.03,0.48,21,9/8/2020,TA_and_JG,14:52,,,,
15,15,0.17,1.01,1.09,0.56,164,9/2/2020,DB_and_RVT,13:15,No Turbinaria; water only,,,
150,150,0.16,0.71,1.01,0.46,117,8/22/2020,TA_and_KS,15:14,,,,
151,151,0.16,0.49,0.78,0.45,119,8/22/2020,TA_and_KS,15:46,,,,
152,152,0.15,0.34,0.55,0.41,118,8/22/2020,TA_and_KS,15:34,,,,
153,153,0.17,0.75,0.98,1.08,115,8/22/2020,TA_and_KS,14:40,,,,
154,154,0.19,0.76,1.25,0.38,116,8/22/2020,TA_and_KS,14:59,,,,
155,155,0.19,0.76,1.21,0.44,114,8/22/2020,TA_and_KS,14:24,,,,
156,156,0.18,0.83,1.34,0.48,113,8/22/2020,TA_and_KS,14:12,,,,
157,157,0.17,1.24,1.25,0.59,112,8/22/2020,TA_and_KS,11:39,,,,
158,158,0.17,1.61,1.11,0.45,111,8/22/2020,TA_and_KS,11:25,water sample left out of cooler for 2 hours,,,
159,159,0.18,2.05,1.06,0.44,109,8/22/2020,TA_and_KS,11:10,,,,
16,16,0.17,2.01,1.74,0.63,168,9/2/2020,DB_and_RVT,14:20,,,,
160,160,0.17,1.23,1.37,0.52,110,8/22/2020,TA_and_KS,11:20,,,,
161,161,0.19,0.7,1.13,0.85,1,9/7/2020,TA_and_KS,11:22,,,,
162,162,0.2,0.8,1.64,0.58,178,8/31/2020,RS_and_SH,8:40,,,,
163,163,0.2,1.18,1.48,0.47,180,8/31/2020,RS_and_SH,9:15,,,,
164,164,0.18,0.69,1.07,0.92,4,9/7/2020,TA_and_KS,12:11,,,,
165,165,0.21,1.14,1.64,0.59,182,8/31/2020,RS_and_SH,10:02,,,,
166,166,0.22,0.73,1.41,0.44,179,8/31/2020,RS_and_SH,8:55,,,,
167,167,0.2,1.42,1.35,0.29,2,9/7/2020,TA_and_KS,11:45,,,,
168,168,0.26,0.86,1.57,0.73,3,9/7/2020,TA_and_KS,11:48,,,,
169,169,0.2,0.75,1.11,0.78,5,9/7/2020,TA_and_KS,12:35,,,,
17,17,0.16,1.68,0.74,0.88,169,9/2/2020,DB_and_RVT,14:34,,,,
170,170,0.25,0.74,1.19,0.59,183,8/31/2020,RS_and_SH,10:20,,,,
171,171,0.19,0.7,1.39,0.56,181,8/31/2020,RS_and_SH,9:40,,,,
172,172,0.28,1.41,1.5,0.55,186,8/31/2020,RS_and_SH,11:30,,,,
173,173,0.2,0.77,1.19,0.42,184,8/31/2020,RS_and_SH,10:50,,,,
175,175,0.23,1.01,1.62,0.4,187,8/31/2020,RS_and_SH,11:50,,,,
176,176,0.22,0.68,1.16,0.42,190,8/31/2020,RS_and_SH,12:50,,,,
177,177,0.17,1.03,1.48,0.48,192,8/31/2020,RS_and_SH,13:20,,,,
178,178,0.18,1.91,1.03,0.42,193,8/31/2020,RS_and_SH,13:45,,,,
179,179,0.23,0.75,1.23,0.36,191,8/31/2020,RS_and_SH,13:05,,,,
180,180,0.18,0.84,0.99,0.28,6,9/7/2020,TA_and_KS,13:01,,,,
181,181,0.18,0.8,1.48,0.72,8,9/7/2020,TA_and_KS,13:23,,,,
182,182,0.21,0.71,1.18,0.77,9,9/7/2020,TA_and_KS,13:34,,,,
183,183,0.23,0.73,1.07,0.47,189,8/31/2020,RS_and_SH,12:30,,,,
184,,,,,,10,9/7/2020,TA_and_KS,13:53,No water or sterivex,,,
185,185,0.2,0.69,1.23,0.84,11,9/7/2020,TA_and_KS,14:08,,,,
186,186,0.22,0.72,1.03,0.49,185,8/31/2020,RS_and_SH,11:10,,,,
187,187,0.21,0.78,1.52,0.41,188,8/31/2020,RS_and_SH,12:05,,,,
188,188,0.21,0.8,1.35,1.53,7,9/7/2020,TA_and_KS,13:20,,,,
19,19,0.17,0.75,1.06,0.52,170,9/2/2020,DB_and_RVT,14:50,Point 466 on Becky's GPS,-17.597163,-149.83776,
2,2,0.18,0.67,1.53,0.92,166,9/2/2020,DB_and_RVT,13:46,,,,
200,200,0.22,0.8,1.98,0.55,46,8/22/2020,DB_BVT_HE,14:43,Dead acropora probably last bleach,-17.490438,-149.891764,Approximate location
201,201,0.3,0.75,1.54,0.4,70,8/26/2020,DB_BVT,13:08,453 in Becky's GPS,-17.58183,-149.78965,
202,202,0.25,6,1.52,0.52,82,8/26/2020,DB_BVT,16:29,464 in Becky's GPS,-17.58791,-149.80488,
203,203,0.22,3.06,1.62,0.72,35,8/22/2020,DB_BVT_HE,11:34,Lots of staghorn and anemones,-17.506374,-149.917159,Approximate location
204,205,0.23,1.26,0.96,0.46,103,8/26/2020,TA_and_KS,15:37,No Turbinaria,-17.509635,-149.768175,Sample ID for nutrients says 205 but these data are from site 204
206,206,0.21,0.93,1.43,0.47,60,8/26/2020,DB_BVT,11:00,,-17.565944,-149.792587,
207,207,0.2,1.87,1.03,0.32,65,8/26/2020,DB_BVT,12:09,,-17.572476,-149.795439,
208,208,0.24,3.28,1.11,0.83,134,9/2/2020,KS_HE,12:58,Marked 208 New in Burkepile 4 GPS,-17.550152,-149.884951,Approximate location
209,209,0.22,0.82,0.93,0.86,133,9/2/2020,KS_HE,12:43,Marked 209 New in Burkepile 4 GPS,-17.552798,-149.883065,Approximate location
22,22,0.19,0.65,1.38,0.38,81,8/26/2020,DB_BVT,16:05,463 in Becky's GPS; beautiful site with bottlebrush Acropora,-17.60255,-149.80759,
24,24,0.21,0.72,1.1,0.51,79,8/26/2020,DB_BVT,15:29,461 in Becky's GPS; Probably 23 or close,-17.59378,-149.81353,
25,25,0.17,0.65,1.09,0.52,76,8/26/2020,DB_BVT,14:40,458 in Becky's GPS,-17.59514,-149.80741,
26,26,0.19,0.7,1.15,0.53,73,8/26/2020,DB_BVT,13:50,455 in Becky's GPS; Huge anemone with clownfish,-17.59317,-149.80337,
27,27,0.19,0.67,1.07,0.37,75,8/26/2020,DB_BVT,14:20,457 in Becky's GPS,-17.59616,-149.79826,
205,205,0.23,1.12,2.17,0.55,83,8/26/2020,TA_and_KS,10:43,"297 in GPS; Near site 205; water in 205 tube, sterivex in 205 bag",-17.550942,-149.787945,Approximate location
3,3,0.16,0.74,1.05,0.69,161,9/2/2020,DB_and_RVT,12:29,"Gourgeous site; Little Turbinaria, lots of clams",,,
30,30,0.17,0.55,0.96,0.53,80,8/26/2020,DB_BVT,15:48,462 in Becky's GPS,-17.59746,-149.80912,
31,31,0.19,0.6,1.6,0.44,77,8/26/2020,DB_BVT,14:52,459 in Becky's GPS,-17.59731,-149.80624,
32,32,0.17,0.71,1.4,0.44,74,8/26/2020,DB_BVT,14:03,456 in Becky's GPS,-17.59475,-149.80159,
33,33,0.18,0.68,1.01,0.43,72,8/26/2020,DB_BVT,13:36,454 in Becky's GPS,-17.58631,-149.79184,
34,34,0.18,0.73,1.09,0.49,69,8/26/2020,DB_BVT,12:51,34 in Becky's GPS,-17.58031,-149.79438,
35,35,0.17,0.92,1.13,0.53,71,8/26/2020,DB_BVT,13:23,,,,
36,36,0.2,1.11,1.47,0.47,68,8/26/2020,DB_BVT,12:41,36 in Becky's GPS,-17.57891,-149.7967,
37,37,0.19,0.75,1.56,0.41,66,8/26/2020,DB_BVT,12:15,,,,
38,38,0.18,0.81,1.3,0.39,61,8/26/2020,DB_BVT,11:03,,,,
39,39,0.19,0.63,1.45,0.47,63,8/26/2020,DB_BVT,11:30,,,,
4,4,0.17,0.75,1.17,0.43,162,9/2/2020,DB_and_RVT,12:45,Some staghorn; small colonies,,,
40,40,0.16,0.77,1.93,0.45,67,8/26/2020,DB_BVT,12:26,,,,
41,41,0.18,0.66,1.77,0.39,64,8/26/2020,DB_BVT,11:42,Got close as we could,,,
42,42,0.16,0.66,1.74,0.38,62,8/26/2020,DB_BVT,11:17,,,,
43,43,0.21,0.85,1.72,0.37,58,8/26/2020,DB_BVT,10:35,,,,
44,44,0.18,0.72,0.9,0.46,57,8/26/2020,DB_BVT,10:25,,,,
45,45,0.16,1.04,1.5,0.33,59,8/26/2020,DB_BVT,10:50,,,,
46,46,0.21,0.93,1.55,0.47,56,8/26/2020,DB_BVT,10:11,,,,
47,47,0.19,0.75,0.94,0.39,165,9/2/2020,DB_and_RVT,13:28,,,,
50,50,0.15,0.22,0.68,0.42,78,8/26/2020,DB_BVT,15:06,460 in Becky's GPS,-17.601,-149.80085,
51,51,0.24,4.94,1.49,0.45,55,8/26/2020,DB_BVT,9:58,,,,
52,52,0.19,0.72,1.19,0.34,86,8/26/2020,TA_and_KS,10:59,,,,
53,53,0.21,1.56,1.13,0.45,87,8/26/2020,TA_and_KS,12:15,,,,
54,54,0.2,0.96,1.2,0.4,90,8/26/2020,TA_and_KS,13:09,,,,
56,56,0.19,0.7,1.43,0.57,91,8/26/2020,TA_and_KS,13:19,,,,
57,57,0.21,0.68,1.49,0.43,92,8/26/2020,TA_and_KS,13:30,,,,
58,58,0.2,0.72,1.51,0.48,88,8/26/2020,TA_and_KS,12:45,Remember to access this site from the N!,,,
59,59,0.21,0.66,1.67,0.44,89,8/26/2020,TA_and_KS,12:59,,,,
6,6,0.15,0.7,1.6,0.32,156,9/2/2020,DB_and_RVT,10:41,,,,
60,60,0.18,0.63,0.93,0.45,85,8/26/2020,TA_and_KS,10:50,Turbinaria collected a bit closer to shore than water sample,,,
61,61,0.22,0.75,1.51,0.5,93,8/26/2020,TA_and_KS,13:45,,,,
62,62,0.21,0.67,1.14,0.52,94,8/26/2020,TA_and_KS,13:53,,,,
63,63,0.21,0.49,1.16,0.49,95,8/26/2020,TA_and_KS,14:07,,,,
64,64,0.2,0.79,1.28,0.6,97,8/26/2020,TA_and_KS,14:37,,,,
65,65,0.21,0.8,1.01,0.41,98,8/26/2020,TA_and_KS,14:42,,,,
66,66,0.24,0.83,0.99,0.36,96,8/26/2020,TA_and_KS,14:27,,,,
67,67,0.24,2.55,1.56,0.34,107,8/26/2020,TA_and_KS,16:30,,,,
68,68,0.22,1.22,1.28,0.51,106,8/26/2020,TA_and_KS,16:15,,,,
69,69,0.22,0.77,1.63,0.45,100,8/26/2020,TA_and_KS,15:07,,,,
7,7,0.14,0.88,1.15,0.42,159,9/2/2020,DB_and_RVT,11:42,,,,
70,70,0.22,1.15,1.19,0.51,102,8/26/2020,TA_and_KS,15:27,,,,
71,71,0.22,0.69,1.57,0.43,104,8/26/2020,TA_and_KS,15:44,,,,
72,72,0.22,0.68,0.83,0.37,99,8/26/2020,TA_and_KS,14:57,,,,
73,73,0.21,0.71,1.75,0.44,101,8/26/2020,TA_and_KS,15:17,,,,
74,74,0.21,0.6,1.15,0.5,153,8/27/2020,AB_RH,15:25,Pretty site,,,
75,75,0.21,0.56,1.06,0.5,105,8/26/2020,TA_and_KS,16:07,New 75 waypoint in GPS,,,Approximate location
76,76,0.21,0.63,1.17,0.55,150,8/27/2020,AB_RH,14:30,Only 3 Turbinaria collected here,,,
77,77,0.18,0.52,0.85,0.22,152,8/27/2020,AB_RH,15:08,,,,
78,78,0.21,0.65,0.92,0.38,151,8/27/2020,AB_RH,14:49,,,,
8,8,0.16,0.65,1.57,1.53,163,9/2/2020,DB_and_RVT,13:05,"Beautiful, clear",,,
80,80,0.17,1.04,1.51,0.36,124,9/2/2020,KS_HE,10:13,,,,
81,81,0.21,0.76,1.26,0.43,125,9/2/2020,KS_HE,10:25,,,,
82,82,0.19,0.6,1.2,0.1,123,9/2/2020,KS_HE,9:56,,,,
83,83,0.21,0.71,1.06,0.42,126,9/2/2020,KS_HE,10:39,,,,
84,84,0.21,0.69,1.19,0.41,131,9/2/2020,KS_HE,11:54,,,,
85,85,0.2,0.71,1.18,0.42,128,9/2/2020,KS_HE,11:04,,,,
86,86,0.21,0.99,1.17,0.41,130,9/2/2020,KS_HE,11:36,,,,
87,87,0.25,0.99,1.24,0.46,129,9/2/2020,KS_HE,11:20,,,,
88,88,0.23,0.85,0.92,0.4,127,9/2/2020,KS_HE,10:54,Not at site 88; Marked 88 New in Burkepile 4 GPS,,,Approximate location
89,89,0.2,0.85,1.77,0.37,132,9/2/2020,KS_HE,12:31,,,,
9,9,0.16,0.6,1.05,0.38,155,9/2/2020,DB_and_RVT,10:27,,,,
90,90,0.23,0.74,1.37,0.35,135,9/2/2020,KS_HE,13:09,,,,
91,91,0.22,0.59,1.03,0.32,136,9/2/2020,KS_HE,13:36,,,,
92,92,0.23,0.74,1.2,0.4,139,9/2/2020,KS_HE,14:21,Pretty site; lots of Acropora,,,
93,93,0.21,0.76,2.48,0.47,137,9/2/2020,KS_HE,14:00,,,,
94,94,0.23,0.66,1.26,0.44,138,9/2/2020,KS_HE,14:08,,,,
95,95,0.22,0.69,1.24,0.51,171,9/4/2020,TA_and_KK,16:30,,,,
96,96_8_22_2020,0.26,1.8,1.61,0.45,108,8/22/2020,TA_and_KS,9:50,,,,
96,96_9_02_2020,0.21,1.07,0.36,0.73,172,9/4/2020,TA_and_KK,15:45,,,,
97,97,0.2,0.56,0.89,0.55,173,9/4/2020,TA_and_KK,15:55,,,,
98,98,0.23,0.61,1.34,0.81,174,9/4/2020,TA_and_KK,16:15,Use Tahitian boat channel to get to this site,,,
99,99_8_22_2020,0.25,6.26,1.23,0.68,31,8/22/2020,DB_BVT_HE,9:41,99 New,-17.53413,-149.905488,Approximate location
99,99_9_2_2020,0.22,0.69,0.41,1.02,175,9/4/2020,TA_and_KK,14:50,New 99 in the GPS,-17.53413,-149.905488,Approximate location
Cook 1,Cook 1,0.19,2.4,1.23,0.81,12,9/7/2020,TA_and_KS,14:32,,,,
LTER_3_Backreef,LTER 3 back,0.11,0.49,0.88,0.86,149,8/27/2020,AB_RH,12:15,,,,
LTER_3_Fringe,LTER 3 fringe,0.16,1.11,1.1,0.49,148,8/27/2020,AB_RH,11:30,,,,
LTER_6_Fringe,LTER 6,0.16,0.94,0.35,2.94,141,9/4/2020,AB_GB,13:28,,,,
OPU 1,OPU 1,0.17,3.65,1.1,0.44,27,8/30/2020,TA_and_KS,15:46,,,,
OPU 2,OPU 2,0.18,1.52,1.21,0.58,26,8/30/2020,TA_and_KS,15:35,,,,
