Site_Number,Sample_ID,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Entry,Date,Samplers,Time,Notes_Field,Lat,Lon,Notes_Processing
10,10,0.15,0.76,1.13,1.84,157,9/2/2020,DB_and_RVT,11:02,,,,
100,100,0.22,0.65,1.18,0.46,176,9/4/2020,TA_and_KK,15:10,,,,
101,101,0.22,0.63,1.03,0.38,177,9/4/2020,TA_and_KK,15:25,,,,
102,102,0.25,0.65,1.28,0.45,142,9/4/2020,AB_GB,16:55,,,,
103,103,0.2,0.63,1.38,0.56,143,9/4/2020,AB_GB,16:40,,,,
104,104,0.23,1.22,1.69,0.89,144,9/4/2020,AB_GB,16:20,,,,
105,105,0.26,1.06,0.95,0.63,145,9/4/2020,AB_GB,14:45,"This sample was collected at LTER_6_Backreef, which is really close to 105",,,
106,106,0.16,0.8,1.18,1.71,146,9/4/2020,AB_GB,15:10,,,,
107,107,0.19,0.89,1.15,0.56,147,9/4/2020,AB_GB,15:40,,,,
11,11,0.17,1.17,1.68,0.48,158,9/2/2020,DB_and_RVT,11:28,,,,
110,110,0.22,6.32,1.67,0.93,34,8/22/2020,DB_BVT_HE,11:17,110 New,,,Approximate location
111,111,0.16,0.76,1.95,0.55,36,8/22/2020,DB_BVT_HE,11:45,,,,
112,112,0.18,0.78,1.45,0.64,32,8/22/2020,DB_BVT_HE,10:45,Bloom of Hydroclathrus,,,
113,113,0.18,2,1.73,0.69,33,8/22/2020,DB_BVT_HE,11:03,113 New,,,Approximate location
114,114,0.19,0.73,1.43,0.79,38,8/22/2020,DB_BVT_HE,12:33,,,,
115,115,0.19,0.65,1.41,0.71,37,8/22/2020,DB_BVT_HE,12:12,,,,
116,116,0.16,0.72,1.45,0.62,39,8/22/2020,DB_BVT_HE,12:53,By PGEM marker,,,
117,117,0.15,0.68,1.2,0.65,40,8/22/2020,DB_BVT_HE,13:05,,,,
118,118,0.15,0.69,1.4,0.53,41,8/22/2020,DB_BVT_HE,13:15,,,,
119,119,0.14,0.69,1.08,0.51,42,8/22/2020,DB_BVT_HE,13:29,,,,
12,12,0.15,0.62,1.26,0.47,167,9/2/2020,DB_and_RVT,14:04,Impossible to ge here; Site 465 on Becky's GPS,-17.592257,-149.848889,
120,120,0.13,0.71,1.4,0.41,43,8/22/2020,DB_BVT_HE,13:55,,,,
121,121,0.12,0.76,1.41,0.87,44,8/22/2020,DB_BVT_HE,14:06,,,,
122,122,0.14,0.77,1.05,0.41,45,8/22/2020,DB_BVT_HE,14:19,,,,
123,123,0.08,0.57,1.43,0.87,47,8/22/2020,DB_BVT_HE,14:53,,,,
