Entry,Site_number,Lat,Lon,Coral_sampler,Date,Time,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes_Field,Notes_Processing
131,1,-17.58796,-149.85012,TCA,5/20/2021,15:30,0.22,0.78,0.38,0.88,,
132,2,-17.59043,-149.85131,TCA,5/20/2021,16:12,0.18,1.06,0.36,0.62,,
126,3,-17.59053,-149.86127,TCA,5/20/2021,13:30,0.18,0.65,0.14,0.1,,
127,4,-17.58474,-149.85843,TCA,5/20/2021,13:54,0.19,0.77,0.18,0.17,No coral surveys,
124,5,-17.5851,-149.86729,TCA,5/20/2021,12:24,0.18,0.68,0.11,1.15,,
120,6,-17.57797,-149.87319,TCA,5/20/2021,10:41,0.19,0.82,0.11,0.06,,
125,7,-17.57851,-149.86222,TCA,5/20/2021,13:01,0.18,0.91,0.18,0.3,No coral surveys; no benthic photos,
128,8,-17.58235,-149.85452,TCA,5/20/2021,14:15,0.19,0.8,0.27,0.13,No coral surveys; lots of big Prus,
119,9,-17.57453,-149.874,TCA,5/20/2021,10:11,0.19,0.87,0.08,0.15,,
121,10,-17.57521,-149.87,TCA,5/20/2021,11:05,0.18,0.7,0.12,0.14,,
122,11,-17.57273,-149.86616,TCA,5/20/2021,11:31,0.2,4.7,0.19,0.32,No coral surveys,
118,13,-17.56769,-149.87057,TCA,5/20/2021,9:51,0.22,1.31,0.34,0.5,,
123,14,-17.58281,-149.86626,TCA,5/20/2021,11:50,0.18,0.74,0.15,0.17,,
129,15,-17.58035,-149.8535,TCA,5/20/2021,14:45,0.19,0.96,0.22,0.05,No coral surveys; no benthic photos,
19,16,-17.58695,-149.84261,TCA,5/26/2021,16:24,0.22,3.55,0.54,0.75,,
1,17,-17.59329,-149.83903,TCA,5/26/2021,10:18,0.19,1.07,0.24,1.48,,
2,19,-17.59716,-149.83776,TCA,5/26/2021,10:40,0.16,0.78,0.17,0.77,,
18,20,-17.60238,-149.83034,TCA,5/26/2021,15:50,0.18,0.66,0.17,1.27,,
3,21,-17.59344,-149.82625,TCA,5/26/2021,10:57,0.18,0.8,0.28,1.13,,
12,22,-17.60255,-149.80759,TCA,5/26/2021,13:50,0.16,0.77,0.14,0.63,,
14,24,-17.59378,-149.81353,TCA,5/26/2021,14:24,0.2,0.81,0.29,0.68,,
9,25,-17.59514,-149.80741,TCA,5/26/2021,12:56,0.18,0.83,0.23,0.77,,
6,26,-17.59317,-149.80337,TCA,5/26/2021,11:52,0.2,0.87,0.25,0.82,,
8,27,-17.59616,-149.79826,TCA,5/26/2021,12:26,0.14,0.74,0.16,0.63,,
16,28,-17.59882,-149.81939,TCA,5/26/2021,14:57,0.17,0.79,0.1,1.05,,
4,29,-17.59742,-149.82838,TCA,5/26/2021,11:12,0.16,0.78,0.14,1.47,,
13,30,-17.59746,-149.80912,TCA,5/26/2021,14:08,0.15,0.75,0.17,0.68,,
10,31,-17.59731,-149.80624,TCA,5/26/2021,13:11,0.16,0.73,0.19,0.62,,
7,32,-17.59475,-149.80159,TCA,5/26/2021,12:04,0.16,0.77,0.17,0.64,,
173,34,-17.58031,-149.79438,TCA,5/22/2021,15:00,0.17,0.77,0.1,0.09,,
175,35,-17.58383,-149.79855,TCA,5/22/2021,15:56,0.22,0.95,0.33,0.19,,
172,36,-17.57891,-149.7967,TCA,5/22/2021,14:44,0.1,1.24,0.31,0.46,,
170,37,-17.57349,-149.79429,TCA,5/22/2021,13:43,0.19,1.22,0.24,0.16,No coral surveys,
165,38,-17.56787,-149.7925,TCA,5/22/2021,11:30,0.2,0.74,0.24,0.15,Water and Turbinaria only,
168,39,-17.57239,-149.78833,TCA,5/22/2021,12:55,0.16,0.94,0.25,0.26,,
171,40,-17.57567,-149.78853,TCA,5/22/2021,14:15,0.2,0.75,0.2,0.11,,
167,41,-17.57019,-149.78739,TCA,5/22/2021,12:22,0.11,0.93,0.18,0.28,,
166,42,-17.56927,-149.78966,TCA,5/22/2021,11:50,0.12,0.82,0.22,0.29,,
163,43,-17.56248,-149.78303,TCA,5/22/2021,10:49,0.17,0.77,0.13,0.53,,
162,44,-17.5615,-149.78549,TCA,5/22/2021,10:20,0.19,0.73,0.07,0.03,,
161,45,-17.56025,-149.7891,TCA,5/22/2021,10:05,0.2,0.96,0.23,0.15,No coral surveys,
160,46,-17.55799,-149.78094,TCA,5/22/2021,9:49,0.19,0.88,0.19,0.15,Water and Turbinaria only,
130,47,-17.59313,-149.85466,TCA,5/20/2021,15:15,0.21,0.79,0.14,0.12,,
15,48,-17.59492,-149.81718,TCA,5/26/2021,14:41,0.17,0.74,0.14,1.03,,
11,50,-17.601,-149.80085,TCA,5/26/2021,13:28,0.17,0.74,0.13,0.6,,
159,51,-17.55479,-149.78912,TCA,5/22/2021,9:30,0.22,0.97,0.54,0.9,Water and Turbinaria only,
48,52,-17.5483,-149.78066,DEB,5/21/2021,16:01,0.16,0.92,0.31,0.27,,
46,53,-17.54554,-149.77825,DEB,5/21/2021,15:35,0.21,1.04,0.31,0.7,,
43,54,-17.54049,-149.77395,DEB,5/21/2021,14:33,0.21,0.86,0.22,1.11,,
44,55,-17.54389,-149.77475,DEB,5/21/2021,14:45,0.21,1,0.39,1.55,,
42,56,-17.54066,-149.77038,DEB,5/21/2021,14:04,0.17,0.71,0.17,0.76,,
41,57,-17.54171,-149.76657,DEB,5/21/2021,13:34,0.19,0.8,0.23,0.87,,
45,58,-17.54809,-149.77324,DEB,5/21/2021,15:04,0.17,0.75,0.18,0.73,,
49,59,-17.54355,-149.77061,DEB,5/21/2021,16:13,0.14,0.98,0.15,0,,
47,60,-17.55227,-149.7774,DEB,5/21/2021,15:45,0.16,0.84,0.32,1.31,,
38,61,-17.53524,-149.77153,DEB,5/21/2021,11:42,0.12,0.82,0.17,0.59,61 New,
39,62,-17.53598,-149.76799,DEB,5/21/2021,12:13,0.1,0.78,0.14,0.49,,
40,63,-17.53694,-149.76456,DEB,5/21/2021,12:45,0.11,0.72,0.14,0.47,63 New,
36,64,-17.52993,-149.76623,DEB,5/21/2021,10:48,0.11,0.76,0.17,0.42,64 New,
35,65,-17.52484,-149.76495,DEB,5/21/2021,9:53,0.14,0.82,0.16,0.12,,
37,66,-17.5284,-149.7735,DEB,5/21/2021,11:19,0.13,0.92,0.37,0.75,,
34,67,-17.52267,-149.77937,TCA,5/21/2021,16:35,0.14,2.38,0.31,-0.01,,
33,68,-17.52007,-149.77383,TCA,5/21/2021,16:20,0.11,0.82,0.2,-0.01,,
30,69,-17.51598,-149.76878,TCA,5/21/2021,15:05,0.14,1.05,0.27,0.02,,
26,70,-17.5103,-149.76659,TCA,5/21/2021,12:37,0.11,0.76,0.09,0.06,,
27,71,-17.51072,-149.76303,TCA,5/21/2021,13:00,0.11,0.74,0.1,-0.01,,
32,72,-17.52173,-149.76436,TCA,5/21/2021,15:51,0.12,0.81,0.16,-0.01,,
31,73,-17.51639,-149.76421,TCA,5/21/2021,15:24,0.11,0.76,0.1,-0.02,,
24,74,-17.50533,-149.76093,TCA,5/21/2021,11:52,0.1,0.76,0.08,0.08,,
23,75,-17.50327,-149.76453,TCA,5/21/2021,11:21,0.1,0.74,0.05,0,,
22,76,-17.50094,-149.76272,TCA,5/21/2021,11:05,0.09,0.72,0.06,0,No Turbinaria,
21,77,-17.50258,-149.75975,TCA,5/21/2021,10:39,0.09,0.77,0.04,0.21,,
