"Site","Poc_count","Poc_count_adj","Poc_cat","Acr_count","Acr_count_adj","Acr_cat","Coral_cat","Staghorn_presence_absence"
"10",18,18,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"100",85,42.5,"MedPoc",0,0,"NoAcr","MedPoc_NoAcr","NO"
"101",126,63,"HighPoc",31,15.5,"MedAcr","HighPoc_MedAcr","NO"
"102",163,81.5,"HighPoc",24,12,"MedAcr","HighPoc_MedAcr","NO"
"105",149,74.5,"HighPoc",18,9,"LowAcr","HighPoc_LowAcr","NO"
"106",57,28.5,"MedPoc",9,4.5,"LowAcr","MedPoc_LowAcr","YES"
"107",0,0,"NoPoc",40,20,"MedAcr","NoPoc_MedAcr","YES"
"108",161,80.5,"HighPoc",38,19,"MedAcr","HighPoc_MedAcr","NO"
"109",17,8.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"11",10,5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"111",124,62,"HighPoc",20,10,"LowAcr","HighPoc_LowAcr","YES"
"112",27,13.5,"LowPoc",9,4.5,"LowAcr","LowPoc_LowAcr","NO"
"113",0,0,"NoPoc",8,4,"LowAcr","NoPoc_LowAcr","YES"
"114",103,51.5,"HighPoc",4,2,"LowAcr","HighPoc_LowAcr","YES"
"115",2,1,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"117",1,1,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"118",0,0,"NoPoc",11,11,"MedAcr","NoPoc_MedAcr","YES"
"119",29,29,"MedPoc",7,7,"LowAcr","MedPoc_LowAcr","NO"
"12",41,41,"MedPoc",1,1,"LowAcr","MedPoc_LowAcr","NO"
"120",31,31,"MedPoc",3,3,"LowAcr","MedPoc_LowAcr","NO"
"121",0,0,"NoPoc",1,1,"LowAcr","NoPoc_LowAcr","NO"
"122",29,29,"MedPoc",5,5,"LowAcr","MedPoc_LowAcr","NO"
"123",10,10,"LowPoc",4,4,"LowAcr","LowPoc_LowAcr","YES"
"124",40,40,"MedPoc",3,3,"LowAcr","MedPoc_LowAcr","NO"
"128",3,3,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","YES"
"13",40,20,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"130",124,62,"HighPoc",10,5,"LowAcr","HighPoc_LowAcr","NO"
"131",125,62.5,"HighPoc",7,3.5,"LowAcr","HighPoc_LowAcr","NO"
"132",91,45.5,"MedPoc",13,6.5,"LowAcr","MedPoc_LowAcr","NO"
"134",12,12,"LowPoc",13,13,"MedAcr","LowPoc_MedAcr","YES"
"136",23,23,"LowPoc",1,1,"LowAcr","LowPoc_LowAcr","NO"
"139",74,37,"MedPoc",0,0,"NoAcr","MedPoc_NoAcr","NO"
"14",7,7,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"140",34,17,"LowPoc",3,1.5,"LowAcr","LowPoc_LowAcr","NO"
"141",56,28,"MedPoc",0,0,"NoAcr","MedPoc_NoAcr","NO"
"142",32,16,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"143",38,19,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"144",54,27,"MedPoc",1,0.5,"LowAcr","MedPoc_LowAcr","NO"
"145",1,0.5,"LowPoc",1,0.5,"LowAcr","LowPoc_LowAcr","NO"
"146",26,26,"MedPoc",0,0,"NoAcr","MedPoc_NoAcr","YES"
"147",82,41,"MedPoc",9,4.5,"LowAcr","MedPoc_LowAcr","NO"
"148",98,49,"MedPoc",26,13,"MedAcr","MedPoc_MedAcr","NO"
"149",59,29.5,"MedPoc",13,6.5,"LowAcr","MedPoc_LowAcr","NO"
"150",11,5.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"151",81,40.5,"MedPoc",25,12.5,"MedAcr","MedPoc_MedAcr","NO"
"152",83,41.5,"MedPoc",19,9.5,"LowAcr","MedPoc_LowAcr","NO"
"153",37,18.5,"LowPoc",4,2,"LowAcr","LowPoc_LowAcr","NO"
"155",10,5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","YES"
"157",9,4.5,"LowPoc",2,1,"LowAcr","LowPoc_LowAcr","NO"
"158",2,1,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"159",24,12,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"161",119,59.5,"HighPoc",15,7.5,"LowAcr","HighPoc_LowAcr","YES"
"163",28,14,"LowPoc",7,3.5,"LowAcr","LowPoc_LowAcr","YES"
"164",32,16,"LowPoc",5,2.5,"LowAcr","LowPoc_LowAcr","NO"
"166",113,56.5,"HighPoc",17,8.5,"LowAcr","HighPoc_LowAcr","NO"
"167",83,41.5,"MedPoc",8,4,"LowAcr","MedPoc_LowAcr","NO"
"168",158,79,"HighPoc",36,18,"MedAcr","HighPoc_MedAcr","NO"
"169",166,83,"HighPoc",24,12,"MedAcr","HighPoc_MedAcr","NO"
"170",90,45,"MedPoc",24,12,"MedAcr","MedPoc_MedAcr","NO"
"171",85,42.5,"MedPoc",18,9,"LowAcr","MedPoc_LowAcr","NO"
"172",66,33,"MedPoc",4,2,"LowAcr","MedPoc_LowAcr","NO"
"173",82,41,"MedPoc",1,0.5,"LowAcr","MedPoc_LowAcr","NO"
"175",8,4,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","YES"
"176",45,45,"MedPoc",7,7,"LowAcr","MedPoc_LowAcr","NO"
"177",8,8,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"178",7,7,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
