"Site","Poc_count","Poc_count_adj","Poc_cat","Acr_count","Acr_count_adj","Acr_cat","Coral_cat","Staghorn_presence_absence"
"179",54,27,"MedPoc",1,0.5,"LowAcr","MedPoc_LowAcr","NO"
"181",53,26.5,"MedPoc",15,7.5,"LowAcr","MedPoc_LowAcr","NO"
"182",28,14,"LowPoc",2,1,"LowAcr","LowPoc_LowAcr","NO"
"183",15,7.5,"LowPoc",1,0.5,"LowAcr","LowPoc_LowAcr","NO"
"184",27,13.5,"LowPoc",6,3,"LowAcr","LowPoc_LowAcr","NO"
"185",110,55,"HighPoc",13,6.5,"LowAcr","HighPoc_LowAcr","NO"
"186",24,12,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","YES"
"187",52,26,"MedPoc",1,0.5,"LowAcr","MedPoc_LowAcr","YES"
"2",35,35,"MedPoc",0,0,"NoAcr","MedPoc_NoAcr","NO"
"21",1,1,"LowPoc",4,4,"LowAcr","LowPoc_LowAcr","NO"
"22",124,62,"HighPoc",13,6.5,"LowAcr","HighPoc_LowAcr","NO"
"25",6,3,"LowPoc",1,0.5,"LowAcr","LowPoc_LowAcr","NO"
"26",0,0,"NoPoc",1,0.5,"LowAcr","NoPoc_LowAcr","NO"
"27",97,48.5,"MedPoc",8,4,"LowAcr","MedPoc_LowAcr","NO"
"28",30,15,"LowPoc",2,1,"LowAcr","LowPoc_LowAcr","NO"
"29",34,34,"MedPoc",3,3,"LowAcr","MedPoc_LowAcr","NO"
"3",35,35,"MedPoc",12,12,"MedAcr","MedPoc_MedAcr","NO"
"30",21,10.5,"LowPoc",1,0.5,"LowAcr","LowPoc_LowAcr","NO"
"31",51,25.5,"MedPoc",2,1,"LowAcr","MedPoc_LowAcr","YES"
"32",8,4,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"33",86,43,"MedPoc",10,5,"LowAcr","MedPoc_LowAcr","NO"
"34",47,23.5,"LowPoc",1,0.5,"LowAcr","LowPoc_LowAcr","NO"
"35",32,16,"LowPoc",2,1,"LowAcr","LowPoc_LowAcr","YES"
"36",83,41.5,"MedPoc",2,1,"LowAcr","MedPoc_LowAcr","NO"
"37",110,55,"HighPoc",6,3,"LowAcr","HighPoc_LowAcr","NO"
"38",37,18.5,"LowPoc",2,1,"LowAcr","LowPoc_LowAcr","NO"
"40",93,46.5,"MedPoc",30,15,"MedAcr","MedPoc_MedAcr","NO"
"41",29,14.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"42",31,15.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"43",74,37,"MedPoc",10,5,"LowAcr","MedPoc_LowAcr","NO"
"44",15,7.5,"LowPoc",3,1.5,"LowAcr","LowPoc_LowAcr","NO"
"45",77,38.5,"MedPoc",2,1,"LowAcr","MedPoc_LowAcr","NO"
"46",113,56.5,"HighPoc",10,5,"LowAcr","HighPoc_LowAcr","NO"
"47",38,38,"MedPoc",4,4,"LowAcr","MedPoc_LowAcr","NO"
"48",37,18.5,"LowPoc",2,1,"LowAcr","LowPoc_LowAcr","NO"
"50",135,67.5,"HighPoc",22,11,"MedAcr","HighPoc_MedAcr","NO"
"51",80,40,"MedPoc",1,0.5,"LowAcr","MedPoc_LowAcr","NO"
"52",83,41.5,"MedPoc",6,3,"LowAcr","MedPoc_LowAcr","NO"
"53",63,31.5,"MedPoc",6,3,"LowAcr","MedPoc_LowAcr","NO"
"54",1,0.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"55",23,11.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"56",22,11,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"57",96,48,"MedPoc",9,4.5,"LowAcr","MedPoc_LowAcr","NO"
"58",75,37.5,"MedPoc",8,4,"LowAcr","MedPoc_LowAcr","NO"
"59",64,32,"MedPoc",0,0,"NoAcr","MedPoc_NoAcr","NO"
"6",188,188,"HighPoc",9,9,"LowAcr","HighPoc_LowAcr","NO"
"60",65,32.5,"MedPoc",19,9.5,"LowAcr","MedPoc_LowAcr","NO"
"61",10,5,"LowPoc",1,0.5,"LowAcr","LowPoc_LowAcr","NO"
"62",55,27.5,"MedPoc",2,1,"LowAcr","MedPoc_LowAcr","NO"
"63",86,43,"MedPoc",15,7.5,"LowAcr","MedPoc_LowAcr","NO"
"64",9,4.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"65",98,49,"MedPoc",130,65,"HighAcr","MedPoc_HighAcr","NO"
"66",52,26,"MedPoc",12,6,"LowAcr","MedPoc_LowAcr","NO"
"67",0,0,"NoPoc",5,2.5,"LowAcr","NoPoc_LowAcr","YES"
"68",25,12.5,"LowPoc",69,34.5,"HighAcr","LowPoc_HighAcr","NO"
"69",12,6,"LowPoc",19,9.5,"LowAcr","LowPoc_LowAcr","YES"
"70",36,18,"LowPoc",41,20.5,"HighAcr","LowPoc_HighAcr","YES"
"71",127,63.5,"HighPoc",12,6,"LowAcr","HighPoc_LowAcr","NO"
"72",124,62,"HighPoc",16,8,"LowAcr","HighPoc_LowAcr","NO"
"73",83,41.5,"MedPoc",9,4.5,"LowAcr","MedPoc_LowAcr","NO"
"74",115,57.5,"HighPoc",20,10,"LowAcr","HighPoc_LowAcr","YES"
"75",15,7.5,"LowPoc",30,15,"MedAcr","LowPoc_MedAcr","YES"
"76",11,5.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","YES"
"77",100,50,"MedPoc",26,13,"MedAcr","MedPoc_MedAcr","YES"
"78",107,53.5,"HighPoc",32,16,"MedAcr","HighPoc_MedAcr","YES"
"81",81,40.5,"MedPoc",1,0.5,"LowAcr","MedPoc_LowAcr","NO"
"82",112,56,"HighPoc",43,21.5,"HighAcr","HighPoc_HighAcr","NO"
"83",175,87.5,"HighPoc",39,19.5,"MedAcr","HighPoc_MedAcr","NO"
"84",153,76.5,"HighPoc",21,10.5,"MedAcr","HighPoc_MedAcr","NO"
"86",72,36,"MedPoc",11,5.5,"LowAcr","MedPoc_LowAcr","YES"
"87",23,11.5,"LowPoc",27,13.5,"MedAcr","LowPoc_MedAcr","YES"
"89",23,11.5,"LowPoc",8,4,"LowAcr","LowPoc_LowAcr","YES"
"9",59,29.5,"MedPoc",0,0,"NoAcr","MedPoc_NoAcr","NO"
"90",125,62.5,"HighPoc",8,4,"LowAcr","HighPoc_LowAcr","NO"
"91",150,75,"HighPoc",19,9.5,"LowAcr","HighPoc_LowAcr","YES"
"92",206,103,"HighPoc",36,18,"MedAcr","HighPoc_MedAcr","NO"
"94",31,15.5,"LowPoc",5,2.5,"LowAcr","LowPoc_LowAcr","YES"
"95",158,79,"HighPoc",27,13.5,"MedAcr","HighPoc_MedAcr","YES"
"97",95,47.5,"MedPoc",7,3.5,"LowAcr","MedPoc_LowAcr","NO"
"98",40,20,"LowPoc",10,5,"LowAcr","LowPoc_LowAcr","YES"
"Cook 1",2,1,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"OPU 1",8,4,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
"OPU 2",1,0.5,"LowPoc",0,0,"NoAcr","LowPoc_NoAcr","NO"
