Sample_ID,Site_number,Lat,Lon,Coral_sampler,Date,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio
109,109,-17.51139,-149.91945,DEB,5/19/2021,2615,30.1,4.28,0.57,53.06
110,110,-17.51056,-149.91592,DEB,5/19/2021,2405,26.85,3.52,0.59,45.14
111,111,-17.50318,-149.92404,DEB,5/19/2021,2947,30.03,4.21,0.51,59.14
112,112,-17.50348,-149.92064,DEB,5/19/2021,2501,29.37,3.87,0.47,63.07
113,113,-17.50287,-149.91747,DEB,5/19/2021,3051,27.08,3.53,0.6,45.43
114,114,-17.49546,-149.92357,TCA,5/24/2021,2437,30.13,4.14,0.5,60.35
115,115,-17.49504,-149.91971,TCA,5/24/2021,2600,29.16,3.92,0.61,47.89
116,116,-17.49475,-149.9146,TCA,5/24/2021,2567,26.67,3.45,0.71,37.64
117,117,-17.49065,-149.9111,TCA,5/24/2021,3141,25.05,3.21,0.83,30.22
118,118,-17.48915,-149.90675,TCA,5/24/2021,2041,25.9,3.32,0.88,29.27
119,119,-17.48592,-149.90779,TCA,5/24/2021,2897,27.65,3.61,0.61,45.02
120,120,-17.48791,-149.90225,TCA,5/24/2021,3231,28.79,3.77,0.72,39.72
121,121,-17.48853,-149.89686,TCA,5/24/2021,3101,28.65,3.74,0.62,46.19
122,122,-17.48485,-149.89624,TCA,5/24/2021,2259,28.7,3.79,0.69,41.3
123,123,-17.48895,-149.89129,TCA,5/24/2021,2177,30.41,4.15,0.53,56.85
125,125,-17.4902,-149.88266,KES,5/25/2021,2268,29.43,3.8,0.7,42.16
126,126,-17.4918,-149.87949,TCA,5/24/2021,2144,28.33,3.7,0.6,46.9
127,127,-17.48897,-149.87898,TCA,5/24/2021,2032,29.99,4.09,0.47,63.8
128,128,-17.48683,-149.8765,KES,5/25/2021,2236,27.34,3.45,0.67,40.98
129,129,-17.48973,-149.87265,KES,5/25/2021,2513,29.21,3.85,0.63,46.09
130,130,-17.48467,-149.87422,KES,5/25/2021,2997,29.49,3.89,0.73,40.14
131,131,-17.4881,-149.86676,KES,5/25/2021,2506,29.19,3.83,0.93,31.38
132,132,-17.48744,-149.87097,KES,5/25/2021,2380,28.71,3.76,0.7,40.9
133,133,-17.49029,-149.8869,TCA,5/24/2021,2494,30.36,4.13,0.69,43.96
134,134,-17.48733,-149.88701,TCA,5/24/2021,2463,29.65,3.97,0.69,42.72
136,136,-17.4869,-149.88057,TCA,5/24/2021,2435,28.86,3.89,0.66,43.76
137,137,-17.4838,-149.87981,KES,5/25/2021,2952,27.7,3.61,0.75,36.71
138,138,-17.4921,-149.87465,KES,5/25/2021,2884,30.91,4.38,0.62,50.25
139,139,-17.49065,-149.86812,KES,5/25/2021,2632,28.03,3.72,0.57,49.54
140,140,-17.49716,-149.86264,KES,5/25/2021,2368,28.51,3.76,0.74,38.33
141,141,-17.49316,-149.86737,KES,5/25/2021,2405,26.35,3.39,0.76,34.46
142,142,-17.49376,-149.85192,KES,5/25/2021,2156,26.91,3.48,0.55,48.7
143,143,-17.49083,-149.85442,KES,5/25/2021,2059,27.99,3.58,0.84,33.21
144,144,-17.48895,-149.855,KES,5/25/2021,2888,29.83,4.04,0.6,49.65
145,145,-17.48967,-149.84942,KES,5/26/2021,2605,28.06,3.62,0.72,38.93
146,146,-17.48546,-149.84699,KES,5/26/2021,2765,30.12,3.95,0.68,44.49
147,147,-17.48169,-149.84987,KES,5/26/2021,2209,29.24,3.77,0.7,41.81
148,148,-17.48387,-149.84902,KES,5/26/2021,2207,29.4,3.76,0.63,46.31
149,149,-17.4865,-149.85203,KES,5/26/2021,3019,29.08,3.81,0.58,50.04
150,150,-17.4843,-149.84201,KES,5/24/2021,2982,29.66,4.18,0.51,58.23
151,151,-17.47822,-149.84236,KES,5/26/2021,2694,28.62,3.66,0.74,38.49
152,152,-17.4801,-149.84228,KES,5/26/2021,2141,28.4,3.62,0.7,40.74
153,153,-17.47842,-149.83398,KES,5/26/2021,2202,27.16,3.47,0.7,38.71
154,154,-17.47973,-149.83653,KES,5/24/2021,2579,27.92,3.7,0.5,55.56
155,155,-17.48487,-149.83479,KES,5/24/2021,2419,28.93,3.89,0.57,50.43
156,156,-17.48503,-149.83127,KES,5/24/2021,2451,28.01,3.63,0.7,40.03
157,157,-17.48115,-149.83014,KES,5/24/2021,2906,27.09,3.62,0.53,50.95
158,158,-17.48467,-149.82752,KES,5/24/2021,2644,27.7,3.53,0.53,52.27
159,159,-17.48656,-149.82506,KES,5/24/2021,2141,27.32,3.46,0.53,51.94
160,160,-17.48205,-149.82621,KES,5/24/2021,2731,28.54,3.66,0.72,39.69
161,161,-17.47371,-149.77685,TCA,5/23/2021,3041,27.62,3.56,0.7,39.35
162,162,-17.476,-149.78036,TCA,5/23/2021,2130,29,3.56,0.68,42.77
163,163,-17.47785,-149.78665,TCA,5/23/2021,2431,27.99,3.54,0.68,41.05
164,164,-17.47881,-149.79099,TCA,5/23/2021,2298,28.96,3.78,0.56,51.86
165,165,-17.47961,-149.79613,TCA,5/23/2021,2940,27.85,3.59,0.73,38.28
166,166,-17.47499,-149.78672,TCA,5/23/2021,2898,28.72,3.7,0.48,60.45
167,167,-17.47283,-149.78103,TCA,5/23/2021,2555,28.6,3.66,0.56,51.08
168,168,-17.47187,-149.78655,TCA,5/23/2021,2349,28.96,3.53,0.6,48.46
169,169,-17.47434,-149.79374,TCA,5/23/2021,2286,28.54,3.62,0.58,49.29
170,170,-17.47682,-149.79501,TCA,5/23/2021,2366,27.85,3.6,0.72,38.81
171,171,-17.47497,-149.79012,TCA,5/23/2021,2170,27.72,3.54,0.7,39.82
172,172,-17.48044,-149.79966,TCA,5/25/2021,2171,27.53,3.51,0.68,40.28
173,173,-17.47605,-149.79737,TCA,5/25/2021,2770,28.06,3.58,0.72,39.02
175,175,-17.48082,-149.80484,TCA,5/25/2021,2190,28.34,3.56,0.69,41.08
176,176,-17.48256,-149.81385,TCA,5/25/2021,2638,27.08,3.38,0.67,40.48
178,178,-17.48729,-149.81839,TCA,5/25/2021,2338,26.35,3.32,0.77,34.14
179,179,-17.4812,-149.8176,TCA,5/25/2021,2460,27.69,3.52,0.73,38.03
180,180,-17.47708,-149.82124,KES,5/26/2021,2798,28.23,3.63,0.7,40.35
181,181,-17.47478,-149.81489,TCA,5/25/2021,2890,25.94,3.4,0.65,39.87
182,182,-17.47831,-149.81354,TCA,5/25/2021,2534,27.45,3.71,0.54,51.09
183,183,-17.48035,-149.81365,TCA,5/25/2021,2375,28.07,3.7,0.59,47.6
184,184,-17.47487,-149.8077,TCA,5/25/2021,2885,29.23,3.97,0.63,46.46
185,185,-17.47691,-149.80663,TCA,5/25/2021,2518,29.05,3.89,0.67,43.39
186,186,-17.47712,-149.8025,TCA,5/25/2021,2873,27.58,3.61,0.67,41.01
187,187,-17.47899,-149.80634,TCA,5/25/2021,2143,30.86,4.1,0.62,49.51
188,188,-17.47807,-149.81724,TCA,5/25/2021,2627,28.35,3.73,0.68,41.62
200,200,-17.49044,-149.89176,TCA,5/24/2021,2821,26.09,3.39,0.72,36.15
201,201,-17.58183,-149.78965,TCA,5/22/2021,2083,28.83,3.82,0.66,43.69
202,202,-17.58791,-149.80488,TCA,5/26/2021,2872,26.69,3.47,0.65,41.06
203,203,-17.50637,-149.91716,DEB,5/19/2021,2473,28.41,3.69,0.7,40.75
204,204,-17.50963,-149.76818,TCA,5/21/2021,2361,29.74,3.9,0.66,45.12
205,205,-17.55094,-149.78795,TCA,5/22/2021,2410,28.11,3.65,0.85,33.07
206,206,-17.56594,-149.79259,TCA,5/22/2021,2557,26.93,3.45,0.69,39.05
207,207,-17.57248,-149.79544,TCA,5/22/2021,2671,26.4,3.3,0.85,31
208,208,-17.55015,-149.88495,DEB,5/20/2021,2313,26.6,3.4,0.75,35.51
209,209,-17.5528,-149.88307,DEB,5/20/2021,2201,26.63,3.33,0.81,33.08
210,210,-17.55789,-149.87744,DEB,5/20/2021,3000,26.97,3.45,0.82,33.07
LTER 3 Back Reef,LTER 3 Back Reef,-17.5138,-149.76415,TCA,5/21/2021,2770,27.74,3.67,0.59,47.23
LTER 3 Fringing Reef,LTER 3 Fringing Reef,-17.51305,-149.76688,TCA,5/21/2021,2052,27.57,3.56,0.6,45.99
LTER 6 Fringing,LTER 6 Fringing,-17.51553,-149.91452,DEB,5/19/2021,2461,29.28,3.85,0.66,44.66
Cooks 1,Cooks 1,-17.49718,-149.81805,TCA,5/25/2021,2464,28.07,3.62,0.56,49.82
OPU 1,OPU 1,-17.50843,-149.85259,KES,5/25/2021,3069,29.24,3.69,0.7,41.63
OPU 2,OPU 2,-17.50654,-149.8576,KES,5/25/2021,2588,27.32,3.52,0.79,34.72
